timestamp,position_x,position_y,reference_x,reference_y,velocity,acceleration,jerk,omega,domega,jerk_proxy,contour_error,kcm_intervention,corner_mask,dist_to_corner,mode,mode_proxy
0.10200000000000001,3.7329367378826546,-0.012078102875745657,3.7329367378826546,0.0,100.0,1860.0,-20000.0,-5.35,-100.0,0.0,0.012078102875745657,0.15091984338734563,0.0,6.367061830995759,normal,0.0
0.10300000000000001,3.8329352527613305,-0.012623100177772599,3.8329352527613305,0.0,100.0,1840.0,-20000.0,-5.449999999999999,-100.0,0.0,0.012623100177772599,0.13922346385858206,0.0,6.267063262117345,normal,0.0
0.10400000000000001,3.932933712640284,-0.013178097328545732,3.932933712640284,0.0,100.0,1820.0,-20000.0,-5.549999999999999,-100.0,0.0,0.013178097328545732,0.12351396320173641,0.0,6.167064747238669,normal,0.0
0.105,4.03293211651953,-0.013743094322515128,4.03293211651953,0.0,100.0,1800.0,-20000.0,-5.649999999999999,-100.0,0.0,0.013743094322515128,0.10351906739947445,0.0,6.067066287359716,normal,0.0
0.106,4.132930463399084,-0.014318091154030776,4.132930463399084,0.0,100.0,1780.0,-20000.0,-5.749999999999998,-100.0,0.0,0.014318091154030776,0.08770674873039111,0.0,5.96706788348047,normal,0.0
0.107,4.232928752278965,-0.014903087817342748,4.232928752278965,0.0,100.0,1760.0,-20000.0,-5.849999999999998,-100.0,0.0,0.014903087817342748,0.07189389361950493,0.0,5.867069536600916,normal,0.0
0.108,4.332926982159187,-0.015498084306601035,4.332926982159187,0.0,100.0,1740.0,-20000.0,-5.9499999999999975,-100.0,0.0,0.015498084306601037,0.0560831246711857,0.0,5.767071247721035,normal,0.0
0.109,4.432925152039769,-0.016103080615855716,4.432925152039769,0.0,100.0,1720.0,-20000.0,-6.049999999999997,-100.0,0.0,0.016103080615855716,0.040270746397457764,0.0,5.667073017840813,normal,0.0
0.11,4.53292326092073,-0.016718076739056786,4.53292326092073,0.0,100.0,1700.0,-20000.0,-6.149999999999997,-100.0,0.0,0.016718076739056786,0.024449069799144726,0.0,5.567074847960231,normal,0.0
0.111,4.632921307802087,-0.017343072670054326,4.632921307802087,0.0,100.0,1680.0,-20000.0,-6.2499999999999964,-100.0,0.0,0.017343072670054326,0.008535959675746227,0.0,5.46707673907927,normal,0.0
0.112,4.732919333887701,-0.017971387066610226,4.732919333887701,0.0,100.0,1660.0,-20000.0,-6.283185307179586,-99.0,1000.0,0.017971387066610226,0.007062673568725562,0.0,5.367078692197913,normal,0.0
0.113,4.832917359973315,-0.018599701463166127,4.832917359973315,0.0,100.0,1640.0,-20000.0,-6.283185307179586,-98.0,1000.0,0.018599701463166127,0.010057687759399471,0.0,5.267080666112299,normal,0.0
0.114,4.932915386058929,-0.019228015859722027,4.932915386058929,0.0,100.0,1620.0,-20000.0,-6.283185307179586,-97.0,1000.0,0.019228015859722027,0.010024607181549069,0.0,5.167082640026685,normal,0.0
0.115,5.032913412144543,-0.019856330256277928,5.032913412144543,0.0,100.0,1600.0,-20000.0,-6.283185307179586,-96.0,1000.0,0.019856330256277928,0.009992599487304701,0.0,5.067084613941071,normal,0.0
0.116,5.132911438230157,-0.02048464465283383,5.132911438230157,0.0,100.0,1580.0,-20000.0,-6.283185307179586,-95.0,1000.0,0.02048464465283383,0.00996154546737675,0.0,4.967086587855457,normal,0.0
0.117,5.232909464315771,-0.02111295904938973,5.232909464315771,0.0,100.0,1560.0,-20000.0,-6.283185307179586,-94.0,1000.0,0.02111295904938973,0.009931206703185981,0.0,4.867088561769843,normal,0.0
0.11800000000000001,5.332907490401385,-0.02174127344594563,5.332907490401385,0.0,100.0,1540.0,-20000.0,-6.283185307179586,-93.0,1000.0,0.02174127344594563,0.009901404380798324,0.0,4.767090535684229,normal,0.0
0.11900000000000001,5.432905516486999,-0.02236958784250153,5.432905516486999,0.0,100.0,1520.0,-20000.0,-6.283185307179586,-92.0,1000.0,0.02236958784250153,0.009871959686279247,0.0,4.667092509598615,normal,0.0
0.12,5.532903542572613,-0.02299790223905743,5.532903542572613,0.0,100.0,1500.0,-20000.0,-6.283185307179586,-91.0,1000.0,0.02299790223905743,0.010589003562927232,0.0,4.567094483513001,normal,0.0
0.121,5.632901568658227,-0.02362621663561333,5.632901568658227,0.0,100.0,1480.0,-20000.0,-6.283185307179586,-90.0,1000.0,0.02362621663561333,0.010560512542724592,0.0,4.467096457427387,normal,0.0
0.122,5.732899594743841,-0.024254531032169232,5.732899594743841,0.0,100.0,1460.0,-20000.0,-6.283185307179586,-89.0,1000.0,0.024254531032169235,0.009775519371032708,0.0,4.367098431341773,normal,0.0
