step,x,y,velocity
396,20.0964740024,0.1040572452,19.7204461753
397,20.1158580237,0.1066784617,19.5604461753
398,20.1347933483,0.1109920695,19.4204461753
399,20.1462657102,0.1145112899,12.0000000000
400,20.1573374551,0.1186499932,11.8200000000
401,20.1682165151,0.1228454256,11.6600000000
402,20.1793209170,0.1259118008,11.5200000000
403,20.1905157350,0.1280649497,11.4000000000
404,20.2013492528,0.1311345577,11.2600000000
405,20.2117910159,0.1349001363,11.1000000000
406,20.2218723538,0.1391999300,10.9600000000
407,20.2322062770,0.1423384060,10.8000000000
408,20.2426371515,0.1445366911,10.6600000000
409,20.2526817306,0.1475955195,10.5000000000
410,20.2623146155,0.1512982116,10.3200000000
411,20.2715342528,0.1554710628,10.1200000000
412,20.2810012651,0.1585007951,9.9400000000
413,20.2905518802,0.1606065379,9.7800000000
414,20.3000941776,0.1619755371,9.6400000000
415,20.3095418092,0.1627582613,9.4800000000
416,20.3186905090,0.1646389240,9.3400000000
417,20.3274609206,0.1673504328,9.1800000000
418,20.3358240349,0.1706758380,9.0000000000
419,20.3440788929,0.1737249887,8.8000000000
420,20.3523924770,0.1758464784,8.5800000000
421,20.3602897752,0.1786495269,8.3800000000
422,20.3677941827,0.1819546546,8.2000000000
423,20.3749454171,0.1856290861,8.0400000000
424,20.3823809928,0.1882978338,7.9000000000
425,20.3894487038,0.1914529978,7.7400000000
426,20.3961870753,0.1949678733,7.6000000000
427,20.4026402380,0.1987503448,7.4800000000
428,20.4088188046,0.2027127829,7.3400000000
429,20.4147331341,0.2067837909,7.1800000000
430,20.4204240191,0.2109281157,7.0400000000
431,20.4266111266,0.2140274867,6.9200000000
432,20.4330211530,0.2162365503,6.7800000000
433,20.4390808521,0.2189019670,6.6200000000
434,20.4447900895,0.2218815994,6.4400000000
435,20.4507023234,0.2239991192,6.2800000000
436,20.4566361967,0.2254130312,6.1000000000
437,20.4622391570,0.2273854502,5.9400000000
438,20.4678487497,0.2286931465,5.7600000000
439,20.4733533745,0.2294759017,5.5600000000
440,20.4785051989,0.2308810014,5.3400000000
441,20.4832748224,0.2326867399,5.1000000000
442,20.4880067923,0.2338795774,4.8800000000
443,20.4923991298,0.2354950558,4.6800000000
444,20.4964756459,0.2374008410,4.5000000000
445,20.5002375911,0.2394835719,4.3000000000
446,20.5040922699,0.2409381686,4.1200000000
447,20.5079342332,0.2418978131,3.9600000000
448,20.5114814224,0.2432038947,3.7800000000
449,20.5147210397,0.2447274695,3.5800000000
450,20.5176544841,0.2463659150,3.3600000000
451,20.5205714446,0.2474730470,3.1200000000
452,20.5233458445,0.2481675289,2.8600000000
453,20.5258964151,0.2485561033,2.5800000000
454,20.5281261551,0.2491969304,2.3200000000
455,20.5301336729,0.2495595212,2.0400000000
456,20.5319051850,0.2497331443,1.7800000000
457,20.5334018549,0.2500958830,1.5400000000
458,20.5346684434,0.2502806898,1.2800000000
459,20.5357058568,0.2503539924,1.0400000000
460,20.5364676453,0.2505215582,0.7800000000
461,20.5369779122,0.2506982719,0.5400000000
462,20.5372901093,0.2507685070,0.3200000000
463,20.5374090491,0.2507844235,0.1200000000
464,20.5374090491,0.2507844235,0.0000000000
465,20.5374090491,0.2507844235,0.0000000000
466,20.5374090491,0.2507844235,0.0000000000
467,20.5374090491,0.2507844235,0.0000000000
468,20.5374090491,0.2507844235,0.0000000000
469,20.5374090491,0.2507844235,0.0000000000
470,20.5374090491,0.2507844235,0.0000000000
471,20.5374090491,0.2507844235,0.0000000000
472,20.5374090491,0.2507844235,0.0000000000
473,20.5374090491,0.2507844235,0.0000000000
474,20.5374289302,0.2507866012,0.0200000000
475,20.5374888776,0.2507891112,0.0600000000
476,20.5376066317,0.2508122191,0.1200000000
477,20.5378054320,0.2508340924,0.2000000000
478,20.5380962528,0.2509077351,0.3000000000
479,20.5384718161,0.2509656339,0.3800000000
480,20.5389327504,0.2510995724,0.4800000000
481,20.5394884420,0.2513258616,0.6000000000
482,20.5402028296,0.2515188654,0.7400000000
483,20.5410040956,0.2518312317,0.8600000000
484,20.5419338243,0.2520704064,0.9600000000
485,20.5429612255,0.2522317968,1.0400000000
486,20.5440166700,0.2525416951,1.1000000000
487,20.5450712656,0.2529746247,1.1400000000
